Transaction ID,Item,Cleaned_Item,Quantity,Price Per Unit,Cleaned_Price_Per_Unit,Total Spent,Revenue per Unit,Payment Method,Location,Transaction Date
TXN_1961373,Coffee,Coffee,2,2,2,4,2,Credit Card,Takeaway,08-09-2023
TXN_4977031,Cake,Cake,4,3,3,12,3,Cash,In-store,16-05-2023
TXN_4271903,Cookie,Cookie,4,1,1,4,1,Credit Card,In-store,19-07-2023
TXN_7034554,Salad,Salad,2,5,5,10,5,Unknown,Unknown,27-04-2023
TXN_3160411,Coffee,Coffee,2,2,2,4,2,Digital Wallet,In-store,11-06-2023
TXN_2602893,Smoothie,Smoothie,5,4,4,20,4,Credit Card,Unknown,31-03-2023
TXN_4433211,Unknown,Cake,3,3,3,9,3,Unknown,Takeaway,06-10-2023
TXN_6699534,Sandwich,Sandwich,4,4,4,16,4,Cash,Unknown,28-10-2023
TXN_4717867,Unknown,Cake,5,3,3,15,3,Unknown,Takeaway,28-07-2023
TXN_2064365,Sandwich,Sandwich,5,4,4,20,4,Unknown,In-store,31-12-2023
TXN_2548360,Salad,Salad,5,5,5,25,5,Cash,Takeaway,07-11-2023
TXN_7619095,Sandwich,Sandwich,2,4,4,8,4,Cash,In-store,03-05-2023
TXN_9437049,Cookie,Cookie,5,1,1,5,1,Unknown,Takeaway,01-06-2023
TXN_8915701,Unknown,Tea,2,2,1.5,3,1.5,Unknown,In-store,21-03-2023
TXN_2847255,Salad,Salad,3,5,5,15,5,Credit Card,In-store,15-11-2023
TXN_3765707,Sandwich,Sandwich,1,4,4,4,4,Unknown,Unknown,10-06-2023
TXN_6769710,Juice,Juice,2,3,3,6,3,Cash,In-store,24-02-2023
TXN_8876618,Cake,Cake,5,3,3,15,3,Cash,Unknown,25-03-2023
TXN_3709394,Juice,Juice,4,3,3,12,3,Cash,Takeaway,15-01-2023
TXN_3522028,Smoothie,Smoothie,5,4,4,20,4,Cash,In-store,04-04-2023
TXN_3567645,Smoothie,Smoothie,4,4,4,16,4,Credit Card,Takeaway,30-03-2023
TXN_5132361,Sandwich,Sandwich,3,4,4,12,4,Digital Wallet,Takeaway,01-12-2023
TXN_2616390,Sandwich,Sandwich,2,4,4,8,4,Unknown,Unknown,18-09-2023
TXN_9400181,Sandwich,Sandwich,5,4,4,20,4,Cash,In-store,03-06-2023
TXN_7958992,Smoothie,Smoothie,3,4,4,12,4,Unknown,Unknown,13-12-2023
